"";"Gene";"Prot";"CorrValue"
"2270";"g.GO:0016032";"p.ARID1A";0,506684933344238
"7977";"g.GO:0045892";"p.CCNE1";-0,506566863982729
"20445";"g.LMO4";"p.TGM1";0,50643779202376
"8951";"g.SLC19A2";"p.ESR1";0,506080108353315
"22896";"g.LYN";"p.MYC";0,50599322415596
"14128";"g.GO:0018108";"p.NF2";0,50576466124275
"5895";"g.SEMA3C";"p.CDK1";-0,505761501426941
"2155";"g.TTC39A";"p.ARID1A";-0,505557118687522
"24512";"g.FMNL2";"p.TP53";0,505517340696016
"4439";"g.RIN3";"p.BECN1";0,505446594462494
"15620";"g.FMNL2";"p.PRKCA";0,505434783606611
"25108";"g.MED13L";"p.GO:0000122";0,505123891004563
"23020";"g.GO:0018108";"p.MYC";0,505096583541155
"2353";"g.STC2";"p.ASNS";-0,505027558014828
"25187";"g.RIN3";"p.GO:0000122";-0,504869261443434
"21010";"g.ZNF552";"p.XBP1";-0,504820677387548
"26157";"g.PREX1";"p.GO:0006355";0,504681302894008
"10105";"g.STC2";"p.GATA3";0,504520689751298
"26571";"g.SIGIRR";"p.GO:0006366";0,504458304086478
"13325";"g.SLC43A3";"p.ERRFI1";0,504447583583438
"16383";"g.SEMA3C";"p.AKT1S1";-0,504436007628702
"25880";"g.FMNL2";"p.GO:0006351";-0,504178649950901
"14559";"g.SEMA3C";"p.CDH3";-0,504103060383287
"1758";"g.RUNX3";"p.ANLN";0,504092553103309
"26469";"g.KIF13B";"p.GO:0006366";0,503980380342292
"10488";"g.GO:0046777";"p.GSK3A";0,503945106174385
"5796";"g.LYN";"p.CDK1";0,503772144578251
"2295";"g.RTKN2";"p.ASNS";0,503737631479611
"16282";"g.CSRP2";"p.AKT1S1";0,503531742925
"25305";"g.GO:0045892";"p.GO:0000122";0,503475854890591
"6537";"g.LMO4";"p.CHEK1";0,503440637485287
"14437";"g.STC2";"p.CDH3";-0,503339772055263
"13942";"g.ZNF552";"p.NF2";-0,503302578916292
"26254";"g.ZNF552";"p.GO:0006357";0,503270738845579
"15577";"g.STC2";"p.PRKCA";-0,503171788253521
"14572";"g.GO:0006468";"p.CDH3";0,50308163336223
"2382";"g.HN1";"p.ASNS";0,503054255721738
"2076";"g.ASPM";"p.ARID1A";0,503016375027002
"15959";"g.GO:0045944";"p.PRKCD";0,502893437086674
"7316";"g.HTRA1";"p.CCNB1";-0,502888193643144
"30808";"g.MED13L";"p.GO:0045893";0,502840763653141
"8689";"g.KDM4B";"p.EGFR";-0,502753184479806
"19870";"g.ZNF552";"p.STMN1";-0,502728626006188
"10205";"g.MEX3A";"p.GATA3";-0,502680944159314
"14589";"g.GO:0045892";"p.CDH3";-0,50261700205855
"27638";"g.MAP3K1";"p.GO:0007165";0,50247779133985
"22633";"g.C4orf34";"p.MET";-0,502454651647017
"5041";"g.KDM4B";"p.RAF1";-0,502417106165228
"14294";"g.NCOA7";"p.NOTCH1";0,502369349836871
"912";"g.GO:0046777";"p.ARAF";0,502343707214013
"2279";"g.GO:0045944";"p.ARID1A";0,502318721025759
"24561";"g.PREX1";"p.TP53";-0,502241649501544
"22708";"g.CCNA2";"p.MET";0,502188251917275
"5862";"g.RUNX3";"p.CDK1";0,502064603303038
"14004";"g.LYN";"p.NF2";0,502053646497459
"10190";"g.NCOA7";"p.GATA3";-0,501947293332613
"31059";"g.PRNP";"p.GO:0045944";-0,501663503615232
"22953";"g.LMO4";"p.MYC";0,501555302426369
"6740";"g.E2F1";"p.CHEK2";0,501542970377846
"6446";"g.LRIG1";"p.CHEK1";-0,50146805571538
"21229";"g.KDM4B";"p.XRCC1";-0,50132327734984
"5841";"g.NCAPG2";"p.CDK1";0,501070364304722
"24457";"g.C4orf34";"p.TP53";-0,500598120970298
"22903";"g.TTC39A";"p.MYC";-0,500590101792309
"20167";"g.TTC39A";"p.SYK";-0,500566865254153
"25080";"g.GO:0046777";"p.RPS6KA1";0,500456135395839
"1814";"g.GO:0016032";"p.ANLN";0,500408444057064
"19861";"g.KDM4B";"p.STMN1";-0,500077075345922
